timestep,row,column,abiebals,acerrubr,acersacc,betualle,betupapy,fraxamer,piceglau,pinubank,pinuresi,pinustro,poputrem,querelli,querrubr,thujocci,tiliamer
5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
